trip_grit,alpha_deg,cl,cd,reynolds_chord,mach
120,-4.01,-0.4466,0.00843,6000000,0.15
120,-2.12,-0.2425,0.00789,6000000,0.15
120,-0.01,-0.0120,0.00811,6000000,0.15
120,0.01,-0.0122,0.00804,6000000,0.15
120,2.15,0.2236,0.00823,6000000,0.15
120,4.11,0.4397,0.00879,6000000,0.15
120,6.01,0.6487,0.00842,6000000,0.15
120,8.08,0.8701,0.00995,6000000,0.15
120,10.10,1.0775,0.01175,6000000,0.15
120,11.23,1.1849,0.01248,6000000,0.15
120,12.13,1.2720,0.01282,6000000,0.15
120,13.26,1.3699,0.01408,6000000,0.15
120,14.30,1.4571,0.01628,6000000,0.15
120,15.27,1.5280,0.01790,6000000,0.15
120,16.16,1.5838,0.02093,6000000,0.15
120,17.24,1.6347,0.02519,6000000,0.15
120,18.18,1.1886,0.25194,6000000,0.15
120,19.25,1.1888,0.28015,6000000,0.15
