r_over_R,u_analytic_m_s,u_coarse_m_s,u_medium_m_s,u_fine_m_s
0.0,0.05,0.0524,0.0506,0.05015
0.1,0.0495,0.05186412,0.05009103,0.0496477575
0.2,0.048,0.05025792,0.04856448,0.04814112
0.3,0.0455,0.04758572,0.04602143,0.0456303575
0.4,0.042,0.04385472,0.04246368,0.04211592
0.5,0.0375,0.039075,0.03789375,0.0375984375
0.6,0.032,0.03325952,0.03231488,0.03207872
0.7,0.0255,0.02642412,0.02573103,0.0255577575
0.8,0.018,0.01858752,0.01814688,0.01803672
0.9,0.0095,0.00977132,0.00956783,0.0095169575
1.0,0.0,0.0,0.0,0.0
