stanje,izvor,redak,pojmovi,odjeljak
prije,source/d02_pojmovnik.md,18,CFD; Računalna; mrežu,## Pojmovnik
prije,source/d02_pojmovnik.md,50,Mrežna; mreža; mreže,## Pojmovnik
prije,source/d02_pojmovnik.md,65,Rezidual; reziduali,## Pojmovnik
prije,source/d02_pojmovnik.md,66,mreža,## Pojmovnik
prije,source/d02_pojmovnik.md,74,Validacija; računalni,## Pojmovnik
prije,source/d02_pojmovnik.md,75,Verifikacija; diskretizacijsku,## Pojmovnik
poslije,source/d02_pojmovnik.md,18,CFD; Računalna; mrežu,## Pojmovnik
poslije,source/d02_pojmovnik.md,21,Diskretizacija,## Pojmovnik
poslije,source/d02_pojmovnik.md,51,Mrežna; mreža; mreže,## Pojmovnik
poslije,source/d02_pojmovnik.md,66,Rezidual; reziduali,## Pojmovnik
poslije,source/d02_pojmovnik.md,67,mreža,## Pojmovnik
poslije,source/d02_pojmovnik.md,75,Validacija; cfd,## Pojmovnik
poslije,source/d02_pojmovnik.md,76,Verifikacija; cfd,## Pojmovnik
prije,source/d03_tipicne_pogreske_po_poglavljima.md,227,validacijom,### 12 · Diferencijalni opis realnog toka {#pogreske-realni-tok .unnumbered .unlisted}
prije,source/d03_tipicne_pogreske_po_poglavljima.md,233,diskretizaciju,### 12 · Diferencijalni opis realnog toka {#pogreske-realni-tok .unnumbered .unlisted}
prije,source/d03_tipicne_pogreske_po_poglavljima.md,237,mreže,"### 13 · Gubitci, cjevovodi, crpke i mreže {#pogreske-cjevovodi .unnumbered .unlisted}"
prije,source/d03_tipicne_pogreske_po_poglavljima.md,251,reziduale,"### 13 · Gubitci, cjevovodi, crpke i mreže {#pogreske-cjevovodi .unnumbered .unlisted}"
poslije,source/d03_tipicne_pogreske_po_poglavljima.md,227,validacijom,### 12 · Diferencijalni opis realnog toka {#pogreske-realni-tok .unnumbered .unlisted}
poslije,source/d03_tipicne_pogreske_po_poglavljima.md,233,diskretizaciju,### 12 · Diferencijalni opis realnog toka {#pogreske-realni-tok .unnumbered .unlisted}
poslije,source/d03_tipicne_pogreske_po_poglavljima.md,237,mreže,"### 13 · Gubitci, cjevovodi, crpke i mreže {#pogreske-cjevovodi .unnumbered .unlisted}"
poslije,source/d03_tipicne_pogreske_po_poglavljima.md,251,reziduale,"### 13 · Gubitci, cjevovodi, crpke i mreže {#pogreske-cjevovodi .unnumbered .unlisted}"
prije,source/d04_numericka_mehanika_fluida.md,5,CFD,## Mehanika fluida i numerika — pregled
prije,source/d04_numericka_mehanika_fluida.md,11,mrežama,## Opseg dodatka {#što-se-ovdje-neće-dogoditi}
prije,source/d04_numericka_mehanika_fluida.md,12,validacije; verifikacije,## Opseg dodatka {#što-se-ovdje-neće-dogoditi}
prije,source/d04_numericka_mehanika_fluida.md,14,diskretizacijskih,## Opseg dodatka {#što-se-ovdje-neće-dogoditi}
prije,source/d04_numericka_mehanika_fluida.md,23,CFD; Računalno,## Pojmovnik numeričkih metoda
prije,source/d04_numericka_mehanika_fluida.md,26,VOF,## Pojmovnik numeričkih metoda
prije,source/d04_numericka_mehanika_fluida.md,27,VOF,## Pojmovnik numeričkih metoda
prije,source/d04_numericka_mehanika_fluida.md,28,DNS; mrežu,## Pojmovnik numeričkih metoda
prije,source/d04_numericka_mehanika_fluida.md,29,LES,## Pojmovnik numeričkih metoda
prije,source/d04_numericka_mehanika_fluida.md,30,RANS,## Pojmovnik numeričkih metoda
prije,source/d04_numericka_mehanika_fluida.md,33,MRF; mreže,## Pojmovnik numeričkih metoda
prije,source/d04_numericka_mehanika_fluida.md,34,mreža; mreže,## Pojmovnik numeričkih metoda
prije,source/d04_numericka_mehanika_fluida.md,35,mreža,## Pojmovnik numeričkih metoda
prije,source/d04_numericka_mehanika_fluida.md,36,**y+**; y^+,## Pojmovnik numeričkih metoda
prije,source/d04_numericka_mehanika_fluida.md,45,Fluent; OpenFOAM; diskretizacija,## Primjeri alata
prije,source/d04_numericka_mehanika_fluida.md,47,mreža,## Primjeri alata
prije,source/d04_numericka_mehanika_fluida.md,48,ParaView,## Primjeri alata
prije,source/d04_numericka_mehanika_fluida.md,50,CFD,## Rječnik MF1 → CFD: prijevod pojmova
prije,source/d04_numericka_mehanika_fluida.md,52,CFD; računalnoj,## Rječnik MF1 → CFD: prijevod pojmova
prije,source/d04_numericka_mehanika_fluida.md,54,CFD,## Rječnik MF1 → CFD: prijevod pojmova
prije,source/d04_numericka_mehanika_fluida.md,56,mreže,## Rječnik MF1 → CFD: prijevod pojmova
prije,source/d04_numericka_mehanika_fluida.md,60,VOF,## Rječnik MF1 → CFD: prijevod pojmova
prije,source/d04_numericka_mehanika_fluida.md,64,forceCoeffs,## Rječnik MF1 → CFD: prijevod pojmova
prije,source/d04_numericka_mehanika_fluida.md,69,RANS,## Rječnik MF1 → CFD: prijevod pojmova
prije,source/d04_numericka_mehanika_fluida.md,70,verifikacijska,## Rječnik MF1 → CFD: prijevod pojmova
prije,source/d04_numericka_mehanika_fluida.md,72,MRF; mreža,## Rječnik MF1 → CFD: prijevod pojmova
prije,source/d04_numericka_mehanika_fluida.md,73,MRF,## Rječnik MF1 → CFD: prijevod pojmova
prije,source/d04_numericka_mehanika_fluida.md,76,VOF,## Rječnik MF1 → CFD: prijevod pojmova
prije,source/d04_numericka_mehanika_fluida.md,78,CFD,## Kako se MF1 jednadžbe slažu u CFD slici
prije,source/d04_numericka_mehanika_fluida.md,80,CFD,## Kako se MF1 jednadžbe slažu u CFD slici
prije,source/d04_numericka_mehanika_fluida.md,87,VOF,## Kako se MF1 jednadžbe slažu u CFD slici
prije,source/d04_numericka_mehanika_fluida.md,88,VOF,## Kako se MF1 jednadžbe slažu u CFD slici
prije,source/d04_numericka_mehanika_fluida.md,89,Force Reports,## Kako se MF1 jednadžbe slažu u CFD slici
prije,source/d04_numericka_mehanika_fluida.md,91,verifikaciju,## Kako se MF1 jednadžbe slažu u CFD slici
prije,source/d04_numericka_mehanika_fluida.md,95,MRF; mreža,## Kako se MF1 jednadžbe slažu u CFD slici
prije,source/d04_numericka_mehanika_fluida.md,96,mreže,## Kako se MF1 jednadžbe slažu u CFD slici
